Date,Close,CompanyName,New_Date,Description
2018/9/5,694.400024,British Airways,Day Right before Public Knows:2018/9/5,"British Airways is the second largest UK-based carrier. British Airways announced on September 6 2018 that it was investigating the theft of 380,000 customers’ data between August 21, 2018 until September 5, 2018, from its website, ba.com, and its mobile app. On October 25, 2018, British Airways announced that its investigation into the hack had revealed that the card payment information, including the card verification value (CVV), of an additional 77,000 customers had been stolen."
2018/9/6,681.200012,British Airways,Day the public Knows:2018/9/6,
2018/9/6,681.200012,British Airways,Company response:2018/9/6,
2018/9/7,672,British Airways,Day after the company response:2018/9/7,
2017/9/6,141.389999,Equifax,Day Right before Public Knows:2017/9/6,"Equifax, one of the three largest consumer credit reporting agencies in the United States, announced on September 7, 2017 that its systems had been breached and the sensitive personal data of 147 million Americans had been compromised. The data breached included names, home addresses, phone numbers, dates of birth, social security numbers, and driver’s license numbers. The credit card numbers of approximately 209,000 consumers were also breached."
2017/9/7,142.720001,Equifax,Day the public Knows:2017/9/7,
2017/9/8,123.230003,Equifax,Company response:2017/9/8,
2017/9/11,113.120003,Equifax,Day after the company response:2017/9/11,
2015/11/23,48.509281,Hilton,Day Right before Public Knows:2015/11/23,"The hotel chain Hilton notified the public about the data breaches on November 24, 2015, which was more than nine months after the first discovery and more than three months after the second. By this point, there had already been media reports that several banks suspected card details had been stolen from payment systems used in Hilton gift shops and restaurants. More than 363,000 accounts were put at risk, although it remains unclear whether the perpetrators managed to extract any details."
2015/11/24,48.1194,Hilton,Day the public Knows:2015/11/24,
2015/11/24,48.1194,Hilton,Company response:2015/11/24,
2015/11/25,47.893681,Hilton,Day after the company response:2015/11/25,
2021/7/26,289.049988,LinkedIn,Day Right before Public Knows:2021/7/26,"Linkedin is an American business and employment-oriented online service that operates via websites and mobile apps. In June, 2021, the data of more than 700 million LinkedIn users was posted for sale on the dark web. Hackers had scraped data that included the full names, email addresses, usernames, phone numbers, social media accounts, and personal and professional experience. However, Linkedin denied suffering a data breach and assured users that no private data had been exposed."
2021/7/27,286.540009,LinkedIn,Day the public Knows:2021/7/27,
2021/7/29,286.5,LinkedIn,Company response:2021/7/29,
2021/7/30,284.910004,LinkedIn,Day after the company response:2021/7/30,
2022/9/21,2.67,Optus,Day Right before Public Knows:2022/9/21,"On September 22, Australian telecommunications giant Optus revealed about 11.2 million customers had personal data stolen in a data breach. The Threat actor responsible for stealing then advertising the data released 10,200 records before claiming to delete the rest of the possible 11.2 million records. Optus did not pay the demanded $1 million USD ransom. This was Australia’s largest data breach in terms of volume of citizens impacted, with Drivers licenses, Passports and Medicare numbers all difficult to replace."
2022/9/22,2.68,Optus,Day the public Knows:2022/9/22,
2022/9/22,2.68,Optus,Company response:2022/9/22,
2022/9/23,2.65,Optus,Day after the company response:2022/9/23,
2019/7/30,10.84,Pearson,Day Right before Public Knows:2019/7/30,"Pearson, a London-based publishing and education giant, has revealed on July 31, 2019 that it has suffered a major data breach. The breach affected more than 13,000 school and university accounts with some accounts containing information on hundreds of thousands of students at those institutions. The exposed data was isolated to first name, last name, and in some instances may include date of birth and/or email address. Luckily no social security numbers or financial information were accessed by the hackers."
2019/7/31,10.54,Pearson,Day the public Knows:2019/7/31,
2019/7/31,10.54,Pearson,Company response:2019/7/31,
2019/8/1,10.19,Pearson,Day after the company response:2019/8/1,
